"","RC1","RC3","RC2","RC4","RC5"
"pleasant",-0.218328053063903,-0.090997584702247,0.00599547550882573,0.0484546432885181,0.0434707183172401
"practical",-0.0563013386589995,-0.00534201408897537,0.0533362487687775,-0.326079443514599,0.121879522512632
"prompt",-0.139676218946504,0.0771579392511988,0.0569069924637938,-0.329461531354439,0.0169920188138591
"quiet",0.421798697417578,-0.549521659162569,-0.0378164198257772,-0.258338996907762,0.0306610293346121
"relaxed",-0.175845264644136,-0.428170290481827,0.240025224331392,0.22183581727518,0.230978581550406
"reserved",0.625916618517957,-0.476253486379182,-0.0544543661048597,-0.249489005341608,-0.087380492704637
"rude",0.22240507952626,0.27408476322751,-0.0504290677466491,-0.00231573440852313,0.0291300042642028
"self-pitying",0.00775953781154072,-0.0545159058039992,-0.0473186910218936,0.0234913734024315,0.0097296659409174
"selfish",0.0718177109342407,0.0188997482993873,0.576930662429464,0.056730100362726,-0.0126244114604632
"shallow",-0.0616792868557977,-0.01619460955564,0.10213192584365,0.0222866260864567,0.0349305365075187
"shy",0.398030198661926,-0.432405065957514,-0.101839022282607,0.0623812725157122,-0.0705174180062071
"simple",-0.125275241357774,-0.198969752671656,-0.0549512802839308,-0.0265258475659884,0.374477781051859
"sloppy",0.0471017738416819,-0.0413454681678678,-0.0714420593363141,0.193306424619616,0.000982633414978576
"steady",-0.0540041750124298,-0.076221232665044,0.0326706320603792,-0.372718936120755,0.102390907189464
"sympathetic",-0.368823477262351,-0.245359711138562,-0.113824873565512,0.0223660139606408,0.016277513657289
"systematic",0.0179016944110828,-0.0044495411731446,0.0399031689423331,-0.407486854516106,-0.0598770524811215
"talkative",-0.532703662299858,0.259814650958883,0.111676814064013,0.210740594434114,-0.00973985342448992
"temperamental",0.117399007129511,0.41439448160985,-0.178947757213043,0.125038232433772,0.0391359625195756
"thorough",-0.000577135728708076,-0.0289012221688176,0.0188039735591255,-0.307302345293252,0.00134685464221706
"timid",0.0898126730678021,-0.242264522723087,-0.101056432779239,0.0106560311345633,-0.0562587032829261
"touchy",0.0922629023285437,0.216723247960375,-0.130944151725876,-0.0730913224386562,0.0519091860182996
"trustful",-0.155250177098224,0.0913826500359935,-0.633959523997934,-0.0492866302069077,0.0247524450688191
"unadventurous",0.0305366597117709,-0.433442310317654,0.00406333768015842,-0.402244474407035,0.216881532868973
"uncharitable",0.16752167894841,0.0776059234518306,0.264807321644505,-0.0458486271396555,0.0904373361328855
"uncooperative",0.296888608985302,0.106736809865209,-0.0528721526208022,0.0190398867310764,0.0893370334647666
"undemanding",0.000956142646809855,-0.42652119070698,0.100835144438353,0.204080184210623,0.153897132070489
"undependable",0.0170859966038054,-0.12347447959785,0.258675492967076,0.281767192084346,0.0420391940539157
"unemotional",0.399576142046315,-0.0629770965775512,-0.0326356037700565,-0.0500771645592102,0.00931258507878887
"unexcitable",0.281266147891974,-0.34507377637796,-0.0324061666318713,-0.367709886791845,0.12564676034559
"unimaginative",-0.0256394435464816,-0.0290050874061272,-0.0707537309288177,-0.0900609067456062,0.123740232981929
"uninquisitive",-0.00994638733217127,-0.0141047235394413,-0.079060611907105,0.00956684572103295,0.237573597538906
"unintellectual",-0.0485298880776811,-0.0324698070979403,-0.0478351876664507,0.0333197931024871,0.172340283578329
"unintelligent",-0.000392878892533943,-0.0143372736205599,-0.0558421561355717,0.00235199872104142,0.0392035046537866
"unkind",0.125958361489733,0.203037711144061,0.294651747623471,-0.11850769418724,0.0132018138518052
"unrestrained",-0.0447535446378621,0.251875471958825,-0.0535976237844339,0.518867420362072,-0.0007846852303488
"unsophisticated",-0.0369301947143458,-0.105294433619875,-0.0574892134707845,0.0081527746488216,0.425449265493573
"unsympathetic",0.319749330416313,0.302911656036254,0.223035676468003,-0.0540445831114282,-0.00599389126044221
"verbal",-0.399598183520798,0.189616663011427,0.0987226936281222,0.00371163570013835,-0.205062663352277
"vigorous",-0.123742678027933,0.377233237853662,-0.161608798173721,0.0617531564707614,0.0168160685783635
"warm",-0.605538185094882,-0.110227996580659,0.0371237220536342,0.0784175027645156,0.117942856451143
"withdrawn",0.644104866317297,-0.376023976812241,-0.0665769151800565,0.0880575108301168,-0.136093337666104
"imperceptive",0.0108077273397457,-0.0105481763300561,-0.0246079363849353,0.0657764736413123,0.15048170086936
"imperturbable",0.10677110591806,-0.351877172421359,0.223200847811042,-0.274405814573731,0.0415936641856162
"uncreative",-0.0503586991338755,-0.0172397930312774,-0.0664865458638391,-0.0806101363098835,0.121348389461321
"unenvious",0.103921932851262,-0.117546819495481,-0.167295608851429,0.0317662273997172,0.043444927353255
"unreflective",-0.0543043669074789,-0.00897051894209648,0.0741974528350759,0.145751985055981,0.248068118796118
"unsystematic",0.086733104537191,-0.0481154025077956,-0.0904677538878269,0.481218436554358,0.0390501513666328
"untalkative",0.721616043279202,-0.273840016282534,-0.140710357659686,-0.0592204965036574,0.0123777082393417
"abrupt",0.396933193567132,0.429065714939792,-0.182828984133002,0.100349900148363,0.0171132997014867
"absent-minded",0.155371269188163,-0.203496207950548,-0.122615841447775,0.396489128315093,-0.0544110012379223
"abusive",0.0123519247694215,0.0161811105071359,-0.0286434170786735,-0.00290547362979687,0.0186059531826499
"accommodating",-0.545778165369447,-0.27099226582998,0.1168699571437,0.0648206959360255,0.0464490806060793
"adaptable",-0.0381944885794442,0.0472975094963509,0.0766988003541118,0.216898272916883,-0.221528709358092
"adventurous",-0.02498376687754,0.274465635764269,-0.112949906295016,0.391400256718377,-0.0864773859785346
"affectionate",-0.51878650837385,-0.10600648842963,-0.114493980703423,0.0425240728239983,0.112867934656996
"aggressive",0.0291164741487718,0.461211717603069,-0.0392283502327909,-0.00983644119137441,-0.0313823231115973
"aimless",0.0469220552311735,-0.0466266995675557,-0.0709928145090806,0.165739576795396,-0.000790505878939294
"alert",-0.0211144421301274,0.0604173985551975,0.0144899988751397,-0.0641564893282796,0.00565335112460833
"aloof",0.76366088170262,-0.157038325655736,-0.0360327934039786,0.0943347817916324,-0.165407322069934
"altruistic",-0.309370995557651,-0.110860048002025,-0.387242660040202,-0.0695658999956446,0.00535611655571345
"ambitious",0.0398566614338802,0.289857196710937,-0.0359072212483707,0.0558728542140949,-0.331585794411609
"amiable",-0.578673451815819,-0.140361585788008,0.0439412618375856,0.0654952731696722,0.138650414951907
"analytical",0.186126772419201,-0.000323180786201236,0.0270694503350981,-0.206396655659567,-0.294625537302524
"animated",-0.415099969032781,0.239876638579535,0.0514811761723669,0.380351979242259,-0.0237284105072995
"antagonistic",0.126465130440593,0.374008221298744,0.230271359114958,-0.136829911562688,0.0177496797119478
"apathetic",0.116936905840274,-0.0605086683188929,-0.0648419097402841,0.0663233162055211,-0.00658955839965313
"argumentative",0.114972607202482,0.519854321400251,-0.108522310767167,-0.141772886791337,0.0701116004935937
"articulate",-0.0847497706631801,0.0485969717910054,0.0376616778731585,0.00187340330303594,-0.178523831077366
"assured",-0.0363518221908537,0.134917921226629,0.0220205683875758,-0.0466783088334682,0.0130299177134486
"autonomous",0.12870516533562,0.078829790221191,-0.0202064050355464,0.0774503834546979,-0.102433208250082
"belligerent",0.0843111642204802,0.26221970567759,-0.135205432895074,-0.0147062360904252,0.0967419169701767
"benevolent",-0.183695953260015,-0.146205664673726,-0.237800909677911,0.0178261013472854,0.00042313677776764
"bigoted",0.00873830337421167,-0.00258005897907903,-0.0676689062948027,-0.010307893174485,-0.00531369400491238
"bitter",0.165538053753244,0.0694063345003489,0.0970762827957939,-0.0400207299911497,0.0405772326701797
"bland",0.0658623107065042,-0.132714753044824,-0.0144531351599441,-0.0768669010352237,0.055553614586317
"boastful",-0.0727653980556209,0.255447091915975,0.222083084779341,0.113722904793587,0.0197471080428605
"boisterous",-0.170685972980355,0.303295839692409,-0.0408156109541382,0.337589359026481,0.138226148130099
"bossy",-0.132074028916829,0.55083186847121,0.0247398290370188,-0.292630546844773,-0.0394621886324917
"brave",-0.049070310110499,0.163795374881678,-0.0578821501444827,0.0929240530222694,0.0465567878183603
"bullheaded",0.0592899576451194,0.538426946929147,-0.0195015435424544,-0.0539957500680612,0.290585315067824
"callous",0.109659459351501,0.125382990856855,0.247855974122333,-0.0364509512397278,0.0154886337613165
"candid",-0.180860269102021,0.22071878032191,-0.570013421653314,0.0027895663878013,0.0269291481615581
"carefree",-0.12442388811687,-0.016173753939807,-0.0477499597818371,0.434523577857279,0.119688563526891
"casual",-0.0518609833169088,-0.212386345221626,0.0765113255036055,0.499296917558841,0.176026210277669
"cautious",0.106209603107958,-0.337582514767213,0.034291002264926,-0.476353835545172,-0.032293371363758
"charitable",-0.290948829939455,-0.0634068893127722,-0.265048469073735,-0.0566179709276628,0.00170005603824134
"cheerful",-0.574658133013657,-0.0408011787998984,0.05541736130468,0.10724633963335,0.152322069634965
"clever",0.0788813133330073,0.00549504713301802,0.0644240060363924,0.0340224136749451,-0.148611003309593
"coarse",0.118380270815806,0.0977671567601124,-0.0804319048538487,0.0831437207959468,0.17041849513787
"combative",0.0735433109034444,0.533304092978334,-0.103234307561108,-0.0245546478314719,0.0524169722306845
"communicative",-0.58173036440221,0.198258483146263,0.0396115819446493,-0.0535616916305344,-0.0427533004101569
"compassionate",-0.262530469269945,-0.204420963500116,-0.171180835799685,0.0219077691593821,0.0361961785731483
"compliant",-0.269899280086357,-0.350206976656077,-0.0110552472517699,-0.272114866898604,0.0558050781720044
"compulsive",0.0882275854025526,0.178894362988245,0.120259860102694,-0.151666339624808,-0.0181213805019504
"conceited",0.0336961424794365,0.104610175760846,0.196445206632472,-0.0181923082316806,-0.0542253756996962
"concise",0.0316160836901465,-0.0688223417413696,0.0636954844440562,-0.278739153743588,-0.0948708713778001
"condescending",0.169195369499677,0.244140026854819,0.249952290904815,-0.171028489722357,-0.0903298712427607
"confident",-0.0627267497593863,0.180593898316357,0.0143617478853713,0.0155071788598957,-0.0241112545952155
"conservative",-0.0111221372882773,-0.108494964748729,0.12113648560852,-0.547562474626462,0.302784788556904
"consistent",-0.0603114982567781,0.0109276181923569,-0.0182771472512169,-0.360776370753517,0.0488026932499643
"contemplative",0.16286108112548,-0.223493996312762,0.0724022523454565,-0.069285943798995,-0.157032846190231
"controlled",-0.0282651611488477,-0.066384373144257,0.0914435868525999,-0.401142225588251,-0.0310252013748267
"conventional",-0.184547358769234,-0.165165448190845,0.059032836294669,-0.599365987156417,0.430921016761988
"cordial",-0.554935779502109,-0.0605648304892367,0.0459735194195485,-0.00695859776036731,0.0659170384532432
"courageous",-0.0585033782641737,0.197355179060984,-0.0758801475339867,0.0805447829342417,0.0149614255481075
"courteous",-0.241926852524532,-0.178012545176136,0.0323672235112429,-0.0356261673201563,0.00228749439927196
"cowardly",0.00647942411330205,-0.0548049846616532,-0.0307500383904632,0.0190600509135535,4.41437815428587e-06
"crabby",0.219090503302023,0.244176046063171,-0.158001184650263,-0.144975416286214,0.131636017468882
"crafty",0.145761386642265,-0.0159668106214216,0.429223150184344,0.195511470930787,-0.108565382257667
"cranky",0.217858172029115,0.191154714599774,-0.167719053159244,-0.0586744275425214,0.2081963328542
"critical",0.227001830837818,0.23550947508753,0.0255592481899107,-0.161755977235178,-0.229998855542081
"cruel",0.0177993074442139,0.0274065918441068,0.0922881864453065,-0.0136862141718694,-0.00570278708081667
"cultured",-0.0419294335194997,-0.04485643966885,0.0438614417661764,-0.0387312878012157,-0.316150622662136
"cunning",0.0330106304703116,0.038254876802131,0.626623970825715,0.016407394157285,-0.134743827142048
"curious",0.0304562110546386,-0.0979218955930967,0.0718059935085503,0.0990278782522215,-0.201462736162823
"cynical",0.256206800025448,0.113040518952547,0.408529765281779,-0.0620922908168889,0.0196710367683334
"deceitful",-0.136971151465389,-0.139175736017026,0.841282809546439,-0.0358906817420496,-0.00690413238047304
"decisive",-0.0386809866016819,0.250156420076112,0.0540832948019775,-0.217757828155339,0.00301833304956577
"defensive",0.250951629996458,0.0284530997238645,0.0192403253234427,-0.110433440747945,0.172819123133139
"deliberate",-0.000371465219833782,-0.0300645834945331,0.0806173213417871,-0.351568249376658,-0.00355137430020375
"demonstrative",-0.584799542743489,0.174235530251637,0.0665262751319493,0.0670105431092358,-0.00721991692066974
"dependable",-0.0797751048450651,0.0365908801289244,-0.10846700424363,-0.191005005324832,0.0489893796912136
"dependent",-0.0690715534292014,-0.131215171762795,-0.0444845312162519,0.0611793406112569,0.0166718529061354
"detached",0.73598040940555,-0.209921943661417,0.0286709051054537,0.106319155972701,-0.130320382925448
"devious",-0.0550993488789844,-0.144529816214446,0.856793980173381,0.00531214197448715,-0.0391887585335091
"dignified",-0.0482668918353513,-0.00855582593226311,-0.0587938171402931,-0.162362727759687,-0.102678653698352
"diplomatic",-0.404948977772589,-0.177231020704554,0.168549379147308,-0.178532520749085,-0.283131101237623
"direct",-0.162438436224508,0.357911816077203,-0.128949989432451,-0.129025559815396,0.0694172280993915
"discreet",0.192924465675542,-0.271873630119682,-0.055837341678057,-0.145314275040397,-0.190944681267324
"dishonest",-0.133603187732416,-0.108023349461583,0.754765366368153,0.00414625510684268,0.0101119161282853
"disorderly",0.0871957703304432,0.0124603023685348,-0.0957402213353854,0.350897722972217,0.0411928407406769
"disrespectful",0.102396248785888,0.100087376993385,0.0758550537103645,0.0270196303508804,0.0607238803790297
"docile",-0.104688610724943,-0.354254065948954,-0.0218871220943595,-0.105417968692566,0.0917671592546182
"dogmatic",0.0293521025030185,0.253711478933216,-0.0434873635242647,-0.332331374950222,0.24773389535415
"dominant",-0.0330049907548012,0.557006954064303,0.0511340233564063,-0.0994750266462963,-0.108477760098657
"domineering",-0.0370195959274309,0.522814224994311,0.140090536908099,-0.253174041382224,-0.0576392530774055
"down-to-earth",-0.284722020287536,-0.20259106249284,-0.125343172605833,-0.0956996420125913,0.38124382933615
"dull",0.0559724739167563,-0.0952940963817947,-0.0420342093107507,-0.0658314051739993,0.0720327845350557
"earnest",-0.00389370031800275,-0.0360556174146139,-0.224696380633228,-0.0885807178154643,0.0435403409381849
"earthy",-0.16002355379432,-0.164777555797569,-0.0878873171315339,-0.0404518248315317,0.384451985001761
"easygoing",-0.30766088821334,-0.351604701962526,0.191744594224921,0.3777059608553,0.185954285191049
"economical",0.0123702730827102,-0.0734923008206383,0.0217192665533451,-0.232869405774643,0.00193255316618582
"egocentric",0.113141549242077,0.21858694711495,0.443408318055637,-0.0071705215605096,-0.0690402197535175
"egotistical",0.113639116350821,0.314802553910695,0.369751801403168,-0.0475298343525616,-0.0910660077530671
"eloquent",-0.213347940563043,0.0628728371211924,0.0928027079254443,0.0628961905565206,-0.397719363137148
"empathic",-0.525817775127408,-0.165489864770688,-0.122787862456281,0.0203220013391904,0.00540193166897953
"enterprising",0.0158327422167266,0.231053229559654,-0.002510403643747,0.132347259514263,-0.196514586839714
"enthusiastic",-0.13388355439981,0.092495304908762,-0.0465698619326788,0.100122203781562,-0.0150765200068773
"erratic",0.0874898355277211,0.0789878695520177,-0.0711954123171169,0.380180430103076,0.054286134999116
"ethical",0.0137803048227075,0.0436798667341765,-0.542707165408284,-0.049129210963114,-0.0470770333303873
"exacting",0.138751376871496,0.077181288974146,0.040312558645935,-0.411507422609118,-0.0895687136364792
"excitable",-0.234795032910367,0.190024790649755,-0.0992518641536374,0.371362557956769,-0.0279770475426094
"exhibitionistic",-0.0769854320428156,0.168200920944587,-0.0480054704863626,0.204705716256803,-0.0586587410426126
"explosive",0.0012119069044851,0.412621327255459,-0.135190287416219,0.276681314933037,0.0134926093461877
"expressive",-0.439327593863851,0.0989144163333928,0.0340933100959653,0.258214888559872,-0.0975439685540102
"extravagant",-0.0656332769296987,0.21703546032509,0.0669857772775501,0.247928904723087,-0.190168666953463
"extroverted",-0.606046613396672,0.427055072717811,0.0671885196168669,0.198447371448492,0.0735566128023454
"faultfinding",0.19179796991611,0.32467181812939,-0.150336855370298,-0.241437918984245,-0.0455739009371858
"feminine",-0.420343589760157,-0.143917123049605,-0.166798056995543,-0.022362654586511,-0.289000587230961
"finicky",0.224533049140275,-0.0679316372757645,-0.00954077034769137,-0.191986664747353,-0.0869037658744477
"firm",0.0121383717697739,0.14206443129825,0.00538701861022936,-0.21381362102642,0.0503555781721672
"flamboyant",-0.0875257910866845,0.120967413140123,-0.0794660659766763,0.230305724073518,-0.122908359256156
"flexible",-0.161208943843278,-0.0740327365443964,0.160145638833401,0.295708426797639,-0.236843110483801
"flirtatious",-0.126420397236654,0.0940157600127387,0.0741158277374566,0.22152581382037,-0.0236643940374611
"foolhardy",-0.0270566143956093,0.112570749045562,-0.0266978734481423,0.266304175117075,0.159443589720757
"forceful",-0.0812375381369719,0.685455085442456,-0.0356786409749474,-0.0905570287630762,0.0293801803718478
"foresighted",0.0317286303378292,0.0737912175601709,0.0249879335193962,-0.282365315494349,-0.226629916957192
"forgetful",0.0381489349824244,-0.124914135190777,-0.135086959886486,0.327299721920717,0.0149924315857399
"formal",-0.031637819424304,0.0160000127426377,0.0750898986517621,-0.475293612080208,-0.268873361024796
"frank",-0.104922159461758,0.219659484778833,-0.533550449970824,0.0111341033878201,0.0512396295178771
"friendly",-0.402228819272177,-0.0160078514133535,0.0267992506386783,0.0363161795813198,0.0898358898321192
"frivolous",-0.0296306193645697,-0.00593657795445767,-0.031912074030592,0.131816304799381,0.0158577698907797
"genial",-0.592524900656417,-0.177263920483521,0.118547947733234,0.12820606244171,0.178332529054366
"gossipy",-0.205807279456972,-0.0564967004845531,0.17691842979195,-0.0354640120558787,0.100770795591292
"greedy",-0.0685774735589181,0.031274786297462,0.399992515482819,0.0288355145297613,0.0386213148777012
"gregarious",-0.614073278398229,0.291497980108878,0.0707369698647371,0.215466165139071,0.067894275826086
"grumpy",0.302833934238683,0.124314977306852,-0.118462094498128,-0.111955276477413,0.182865272163022
"gullible",-0.074595500012968,-0.087929332007009,-0.0397859060196245,0.0934193657618132,0.0675065721556025
"happy-go-lucky",-0.310026229720393,-0.0560551858979365,0.0228579951723532,0.375597692274933,0.219737097527294
"hearty",-0.332497493949859,0.0913307270496383,0.0123753277102547,0.0196209045167555,0.310051307087778
"honest",0.00472885199918746,0.094758525404475,-0.587816494613151,-0.0295260074910639,-0.0115200941216761
"humble",-0.0664345134598783,-0.37554205320357,-0.324887767807004,0.0612281136110998,0.12485314853364
"humorless",0.262953857299143,-0.0243078981464779,-0.0561575612549797,-0.168109637591673,-0.0318664218647055
"humorous",-0.351600003708731,-0.0211394567539839,0.0274499665609343,0.166441135039548,0.138368076802755
"hypocritical",-0.12567853623425,-0.063889271424464,0.590511576880925,0.00638352202763203,0.0563543505534849
"idealistic",-0.133281884170932,-0.103458971350225,-0.283915872008296,0.225316736827267,-0.21233487519897
"ignorant",0.00584725381036171,-0.0142579733859611,-0.0596859236884409,0.00244753654048239,0.0383612822292195
"illogical",-0.040788849238692,-0.00919446480313571,-0.0488311861239667,0.135094501372801,0.112473836086853
"immature",0.0366062377099479,-0.0145699448018298,-0.0419326868184575,0.141733724629951,0.00772881214796757
"impartial",0.0865834705917772,-0.236844659924789,-0.412189360768022,-0.0236367542404462,-0.156273136816236
"impatient",0.088759619465211,0.539689304541755,-0.266810582019697,0.308043194300514,-0.084287979484755
"impersonal",0.647809682737786,-0.154658911427251,-0.0541384905978391,0.0204722205552194,-0.117851791795497
"impetuous",-0.0279420840262169,0.286318728391412,-0.145223032649956,0.398691487990018,0.059754663106433
"impolite",0.237127057341134,0.211687512633083,-0.0371230592463988,0.028863938659831,0.0357142837762876
"impulsive",-0.0528996609660241,0.21730068999931,-0.0561815700689442,0.567824455136173,0.15515611618426
"inarticulate",0.160725092447849,-0.0758904068320951,-0.0910073851600011,0.0867932538686989,0.080480712890383
"inconsiderate",0.209343588000366,0.151578666593316,0.245997686030927,0.0561232197323555,0.0411723816159719
"indecisive",0.0605394339835329,-0.192167182186862,-0.110140281628441,0.262814489448256,-0.0885232459605522
"independent",0.118574635964073,0.058445693743156,-0.0472065937687685,0.0646734102198497,-0.0475955129526397
"indirect",0.110763474752619,-0.384658510376148,0.616726349507898,0.112448693943513,-0.0958056961326061
"indiscreet",-0.159492522327819,0.0129791561758665,0.368874185849177,0.225117371366869,0.215385941412289
"individualistic",0.336496682882916,0.134471124549434,0.075749598354051,0.292104446143046,-0.163445031032269
"indulgent",-0.161848803556446,-0.0351164857671257,0.210584995151794,0.292582533672359,0.00226345299211155
"industrious",0.0126002501221312,0.0539453722415557,0.00104004027074865,-0.126678950182699,0.0395178830149487
"informal",-0.110079658529657,-0.0490059856922052,0.0318688204012609,0.512207750438518,0.241339104170224
"ingenious",0.170343051748329,0.0254300042605617,0.0632649336011318,0.125813863727927,-0.265741893326352
"inquisitive",0.019892153954907,-0.0216864029310017,0.0694677925586918,0.0472680112576535,-0.24783086712764
"insensitive",0.298501250325441,0.270238611652577,0.047565641106579,-0.034078847202808,0.0347366871167389
"insightful",0.0755931379656277,-0.023974646911295,0.0134491321364356,-7.76532537101584e-05,-0.176222943234676
"insincere",-0.131387944260378,-0.0764592769212011,0.711550781745842,-0.0442352633194699,-0.0447256200493251
"intelligent",0.100972334265167,0.00625947408128876,0.00610935450005642,0.0198989261239931,-0.142488081658118
"intense",0.168911795517349,0.510568828414978,-0.110158208747551,0.088336605423182,-0.240982423920907
"intolerant",0.192107712904623,0.310114691806061,-0.159763467030603,-0.141328249653386,0.0895744792109176
"intrusive",-0.158687472283578,0.237010059971406,0.284302739195985,-0.172937626517666,0.0118818670119005
"inventive",0.160519070393371,0.0275250166687206,-0.0178967722308188,0.221075274118257,-0.211454661730012
"irreverent",0.112142457036585,0.116699608442335,0.108900155560229,0.437013256046859,0.0504766199499781
"jovial",-0.55295377164322,0.0312632227986119,0.0699604115584215,0.194843563033423,0.200995333076568
"knowledgeable",0.0943354413838513,-0.00837078888409668,0.00131190880009782,-0.0209360809916297,-0.12459104006335
"lax",0.0574030484645417,-0.159539029507133,0.010682280310881,0.384364642092849,0.0412125628581553
"lazy",0.0381990090226515,-0.0564697205462742,-0.0645215274025484,0.13687165196896,0.00188162619045824
"lenient",-0.269072717079159,-0.453958096985126,0.132427217239309,0.220040761335226,0.0641858751771576
"lethargic",0.0312418470215855,-0.0582322551681846,-0.0617886498266818,0.0913855670134884,0.00698398027324141
"logical",0.0972306438203403,0.0196560714368016,0.013564549909874,-0.164819268314243,-0.108293625581997
"loyal",-0.0465580842628975,0.00213785705200748,-0.218054891583957,-0.0297322399706724,0.051221435600169
"lustful",0.00266454252357034,0.0434210363402145,-0.0357998596899499,0.115325449705461,-0.00930354736512467
"magnetic",-0.406799253967589,0.236006341097131,0.201066504498067,0.214749374777224,-0.104013685383188
"manipulative",-0.164710060713755,-0.0458695408055864,0.880224377667422,-0.0553450010331411,-0.0864442987393752
