"","RC2","RC1","RC4","RC6","RC3","RC5"
"irritable",-0.233775460597835,0.0184613056436567,0.0323118896735964,-0.119593630110165,0.459666913465636,0.0220379088063924
"jealous",0.0958492794366007,-0.107272883199301,0.0410122364916742,0.0323560868838834,0.0719745452415126,0.0286018735875553
"kind",-0.0877790113461576,-0.150584255691094,0.0205917759480592,0.102265109774217,-0.113791786925317,0.0372767128531845
"moody",-0.0868544389986771,0.134160522628226,0.121901795806887,0.046420971691666,0.22948715469665,0.0224557007569697
"negligent",-0.006734909769312,0.0968742415907988,0.283377407656759,0.0569813830421883,-0.0277587764228697,-0.00583507520085278
"nervous",-0.118860757596429,0.0272973809285892,0.116752120001916,0.155130710895747,-0.0216426088959017,-0.106580034399598
"organized",0.0727235824778433,-0.039155768441992,-0.37107730121285,-0.0294540477143129,-0.0156004937412972,-0.027795223111957
"philosophical",0.0626827729982413,0.105708406069918,-0.0345612855170294,0.154402271919385,-0.0594640896069646,-0.264975239279083
"pleasant",0.0025713524582121,-0.182977250485322,0.0530160523990419,0.0708217818703487,-0.09760693772483,0.0403932651970909
"practical",0.0741776305293508,-0.0157695257318703,-0.340775947650486,-0.027229572567653,-0.0530156047237885,0.128543163334733
"prompt",0.072730295020176,-0.106784194612586,-0.339454108567071,-0.0730387609816897,-0.0226690237448145,0.0209444569519317
"quiet",-0.032181285891373,0.447235727370371,-0.235236019563512,0.417152610364477,-0.152208455685828,0.0284062162205307
"relaxed",0.239723437054297,-0.0979627127189211,0.222788627296986,0.292720292210519,-0.28420965423826,0.230308442937938
"reserved",-0.0446689824642431,0.629444882827166,-0.233731472038421,0.343052322536624,-0.100694701928297,-0.0836104373038434
"rude",-0.0800524274117329,0.07315318164553,0.0311906464696024,-0.0708633048099153,0.406435047710687,0.00659194438561051
"self-pitying",-0.057432034722316,-0.00941404225999294,0.0384985059722434,0.0765288392729722,0.029688232646313,0.00215257608152763
"selfish",0.578228445849948,0.0491800556820286,0.0487889995603108,-0.011902671476084,0.0224839010179869,-0.0121800608906618
"shallow",0.098597328715361,-0.0634211702092293,0.0258088812138505,0.0262404816898935,-0.00164403453530701,0.0315130957344481
"shy",-0.0929733034065255,0.438285324387581,0.062978852448676,0.266175966907955,-0.202892337277892,-0.0604843670989996
"simple",-0.0492199442965326,-0.0837204194635333,-0.0286010158619309,0.1410510418349,-0.102955564524143,0.372631640579517
"sloppy",-0.0796771483439131,0.0353058288663981,0.197635936108738,0.0347753998677353,-0.00012006274968839,-0.000581292156106423
"steady",0.0496933709990687,-0.0132071078582614,-0.377437731376959,0.0442747085185491,-0.0632420948796147,0.105031613072073
"sympathetic",-0.110271788004566,-0.267152285522315,0.0236644573487961,0.149422759187208,-0.274760701096825,0.0181516868876985
"systematic",0.0564953304062764,0.0441739463875463,-0.411409276372516,-0.00831379236635916,-0.0245034728340525,-0.0558373400340003
"talkative",0.0857751159475072,-0.556079636651062,0.226598149026567,-0.118879072713843,0.0961901496354257,-0.0265659164004128
"temperamental",-0.212998484100301,-0.0410784798630466,0.154639703983836,-0.17634039974236,0.452219552248083,0.016621336267483
"thorough",0.0299856518895205,0.0193247378322158,-0.307764252271201,0.0196235240156369,-0.019617676705583,0.00263078503405197
"timid",-0.104611934156626,0.110651559616463,0.0239360633600516,0.182752269779253,-0.101758425352236,-0.0580358032359572
"touchy",-0.181584494396527,-0.0857608815272573,-0.0051546407416444,0.0629464865216469,0.48044661582548,0.0103131120428691
"trustful",-0.646765332061123,-0.165612296329798,-0.0291463735679575,-0.0236819296503663,0.0832669203189915,0.0154014276279259
"unadventurous",-0.0194673767497392,0.00181554589544969,-0.337622197302133,0.477713724666054,0.0396214099952287,0.184209665477508
"uncharitable",0.228011838503831,0.0231731252509867,0.00384243984234669,0.115967942364503,0.352287611694773,0.0582523748735872
"uncooperative",-0.0696376265541645,0.192650938078526,0.0389334010461366,-0.00143533229930469,0.265479035504934,0.0765698075334672
"undemanding",0.0992895606633503,0.0576843660074485,0.209162191646324,0.294593066178702,-0.236761128904765,0.153968060667987
"undependable",0.248759371628421,0.00975420337404707,0.284879535682038,0.0979617752882533,-0.0477791849517707,0.0390329431048086
"unemotional",-0.00515320048903398,0.42090899836631,-0.0827612263642949,-0.052375591971981,-0.0687515417178503,0.0311214752153886
"unexcitable",-0.0366723199325001,0.260605673656913,-0.333081908573157,0.329408923103276,0.0214323361503618,0.111616311741197
"unimaginative",-0.0628204063592202,-0.00604912759484444,-0.096227999925651,0.00622701049731484,-0.0296984081636475,0.126348202019065
"uninquisitive",-0.0703424127084589,0.00503269943550955,-0.00321519836032444,-0.0152483577345079,-0.019024153255163,0.24180689197849
"unintellectual",-0.0401479037019427,-0.0241150717211826,0.0214507159153467,-0.00498633901050056,-0.0524100383796082,0.176920495969937
"unintelligent",-0.0508679797638435,0.0139939269975796,-0.00410753910557323,-0.00947356781009872,-0.0320598198707708,0.0429001606208979
"unkind",0.260566125979119,-0.0237392071223912,-0.0731807998060805,0.0207969982690871,0.392923702321341,-0.0174447350677874
"unrestrained",-0.046277944531324,-0.0345186778022265,0.476549235189334,-0.287029335268906,-0.0274765365350656,0.0184889626202157
"unsophisticated",-0.0467449786173884,-0.0105632708191531,-0.0054766231339332,0.0529980688977248,-0.0511660047439152,0.428291825721506
"unsympathetic",0.205143100910594,0.174723581398114,-0.0364751135997748,-0.125323282143381,0.390219470969216,-0.0207023113598602
"verbal",0.0806414591355001,-0.408385089713057,0.0218592719338041,-0.0798551667576477,0.0530098430802062,-0.217747403437078
"vigorous",-0.127881510440069,-0.0700514516081596,0.000156029251097687,-0.422490807536863,-0.0460067226515258,0.0463947069830201
"warm",0.033705183163964,-0.515930224148924,0.0805439199107768,0.0779993239969504,-0.216980750564225,0.113239449065739
"withdrawn",-0.0446435801240601,0.678167657751797,0.0682336862344021,0.170548631292523,-0.193937407137279,-0.113342626319563
"imperceptive",-0.0257991912618192,0.00261202386666541,0.0642309004551813,0.011300953740386,0.0212611137657497,0.149186968794106
"imperturbable",0.255038064427755,0.206262194775415,-0.295868872419547,0.171917605846973,-0.286791776783609,0.0582548585796496
"uncreative",-0.0538933426391046,-0.016637805590284,-0.0941867528919283,-0.0230737015263845,-0.0614509842934516,0.127886955250321
"unenvious",-0.165653586359423,0.114407345203181,0.0327907489726292,0.0734168755539444,-0.0450328439754341,0.0456365814084815
"unreflective",0.0740690157322318,-0.0557174550352061,0.137790471575439,0.00125923304130146,0.00119526320776223,0.247636935314555
"unsystematic",-0.111681203193093,0.0471711279625747,0.490513015933055,0.0538640215106868,0.0346158185785646,0.0337775903782495
"untalkative",-0.114374936014666,0.728145632343817,-0.0815907837857133,0.108537496897579,-0.0806098764856068,0.0338571275018717
"abrupt",-0.191867502972935,0.260949324258196,0.096665637899718,-0.281372157816674,0.393993762551003,0.015204616222993
"absent-minded",-0.134018874777071,0.157241814468384,0.401793232821761,0.132576585909092,-0.0928833342730829,-0.0527017340359869
"abusive",-0.0300165180774327,0.00425099395520244,-0.00125747422047099,-0.00500136228831278,0.024955376323724,0.0173835018057474
"accommodating",0.122907785101133,-0.414991312304862,0.0595744188986229,0.155741924383385,-0.355977255006042,0.0493681376643834
"adaptable",0.0943681886997028,0.0249179355951283,0.181017573743482,-0.148620482164048,-0.181921779211715,-0.19939747665778
"adventurous",-0.0821682437396026,0.0405556327814573,0.322300630427107,-0.386744914099435,-0.144002994991415,-0.0500008892721921
"affectionate",-0.126356350739508,-0.460859773863869,0.0590852676164931,0.112111284577757,-0.133487882081613,0.101510158877967
"aggressive",-0.031013069983263,-0.0206718665580585,-0.0351708824108977,-0.365275821765545,0.21054698627577,-0.0231293140447444
"aimless",-0.0825115551746349,0.026469343983258,0.176112588062696,0.0558039725893571,0.0222803489084224,-0.00564557747617218
"alert",0.0245289678422952,-0.00475162560662161,-0.0772786483558568,-0.074831727079081,-0.0190982244718985,0.0120838289524397
"aloof",-0.0246576342411222,0.721794549281507,0.082265728952501,0.0569283947065006,0.022221944177596,-0.149731223824099
"altruistic",-0.382005917787669,-0.22763602951114,-0.068918519366305,0.0528631481736563,-0.180843335374701,0.00817141095462673
"ambitious",-0.013481370709151,0.0704153405088139,0.0144189388856914,-0.326718095266909,-0.0433040324640945,-0.306713395657088
"amiable",0.0424065029410275,-0.485437254488642,0.0665132401588838,0.0956665704523523,-0.229950681979859,0.134828293937735
"analytical",0.0303463203065744,0.175575631515318,-0.199663742455853,0.00360242878825125,0.0200008342170156,-0.292570867655705
"animated",0.0447989970847419,-0.393484652771848,0.362844826205481,-0.207276643137384,-0.0355825402753484,-0.0203034445241973
"antagonistic",0.203522777652369,-0.0293501096716962,-0.106029422905544,-0.13052108306315,0.446998378560471,-0.00680420727088542
"apathetic",-0.062258667109471,0.120861270364405,0.0622910568223314,0.0236288741151914,-0.0302825616254956,-0.00235739433964769
"argumentative",-0.140294157266525,-0.0678015834433287,-0.106807184613674,-0.219645672603508,0.559836813610633,0.0424802537589847
"articulate",0.0314190837946869,-0.0867876914386619,0.00925205568213806,-0.0206662900021277,0.00305055744841034,-0.181321066382616
"assured",0.034773684044923,-0.0219339772036546,-0.0669070977027134,-0.141534528032887,-0.000760273205172125,0.0220802104673677
"autonomous",-0.00115342380599074,0.157007876404298,0.0456499263556043,-0.149304664646629,-0.070390257751949,-0.0832233385592198
"belligerent",-0.142083862375567,0.0129157349507875,-0.0122345671813719,-0.154185370158137,0.233711553860446,0.0910862149910373
"benevolent",-0.225289928406056,-0.0961636065420506,0.00495458075269088,0.0419119875552716,-0.222486092292438,0.0109115101070823
"bigoted",-0.0652621981889638,0.0158065328346352,-0.0126864176135149,-0.00832102778299507,-0.0138129505173564,-0.00326429602217105
"bitter",0.0803525103768909,0.0819449283073895,-0.017237300820313,0.0320529025386031,0.209837829920885,0.0259466914004634
"bland",-0.0149035868140698,0.0693031088813065,-0.0683681480926928,0.112163736100999,-0.0239592314064893,0.052465029974816
"boastful",0.229727093667415,-0.0836723001478629,0.0880591322968507,-0.225430410707457,0.0585751666894295,0.0279029366132528
"boisterous",-0.0248273588520979,-0.14366039991021,0.288937866571947,-0.327409146363667,-0.023557262309558,0.157831255550747
"bossy",0.00536576225620974,-0.256079514494699,-0.269922752324415,-0.278570819007524,0.43796603916538,-0.0605723420905996
"brave",-0.0304606895650601,0.00652530280104292,0.0450364342253817,-0.242344343249459,-0.101864911810816,0.0706604358206121
"bullheaded",-0.00605016767672142,-0.0136198395800129,-0.0884482514695279,-0.416057723603034,0.306461803156954,0.297779346328252
"callous",0.235855190380685,0.0351714710382982,-0.0231007014817678,-0.0266308589205989,0.192518772589666,0.00441738468508264
"candid",-0.589285693848992,-0.223326039633674,0.024954643212461,-0.0963283716262331,0.177827745539425,0.0136466225072629
"carefree",-0.044615281286499,-0.0838387274440116,0.409774017804069,-0.0599789153456985,-0.133244530455768,0.130932584518993
"casual",0.0768803415302526,-0.00326557046609998,0.480963864557315,0.0905736294558501,-0.202837248865793,0.185037726002099
"cautious",0.0223829760114742,0.0924502890532586,-0.426439730744898,0.359940633105591,0.0104051053580422,-0.0537166632266363
"charitable",-0.259899239704531,-0.221821234666414,-0.058566814082311,0.0205135400710025,-0.149085487382378,0.00448213294518985
"cheerful",0.0533347342703321,-0.497716851280721,0.10378645172561,0.0216432589571604,-0.175590454379379,0.149124102405343
"clever",0.0660004550704875,0.078927071116997,0.0305797133456993,-0.0207031024711281,-0.0185998003536221,-0.144513302601829
"coarse",-0.0791143559877045,0.0861557404368678,0.0743596959679506,-0.0773263577295533,0.0984470254702809,0.17213043815439
"combative",-0.0964126255679101,-0.000578396924788328,-0.0494414212070786,-0.405130298996253,0.291631602196717,0.0586495426093955
"communicative",0.017747365151068,-0.585504926593408,-0.0286548653864367,-0.058019484884411,0.0691485872772672,-0.0623486312980283
"compassionate",-0.165810575334537,-0.177062343111084,0.0199255331242596,0.114447625849287,-0.227602373603157,0.0399110610999079
"compliant",-0.00699357727783078,-0.182490551623999,-0.254870363249585,0.271437344494653,-0.23432901594618,0.0499590916167625
"compulsive",0.109192696004634,0.0118684282269316,-0.135182018462789,-0.0578976208628653,0.224507489466922,-0.0301806292968684
"conceited",0.186861317411896,-0.0144995465091786,-0.0080506988542356,-0.0309541628622235,0.123831206939075,-0.0620368909658839
"concise",0.083326104079871,0.080014734589873,-0.290787300266393,0.00590864669377472,-0.108188938927034,-0.0850184646140068
"condescending",0.209816999859135,-0.00339973433579986,-0.115305214265089,0.017215914003719,0.454669800756666,-0.125257392530551
"confident",0.0278834761905264,-0.0445464903225595,-0.0100346810546139,-0.18917707454301,-0.00879766554646547,-0.0123493221231174
"conservative",0.127567773013392,-0.0198212628459059,-0.529520344264635,0.150233643113603,0.0757992652682315,0.289632895725653
"consistent",-0.000904791215177035,-0.0258444566672448,-0.368840562578662,-0.0258813388135586,-0.0333108266598695,0.0531730787683042
"contemplative",0.0636324048733866,0.154734113887437,-0.0458948203331415,0.201892522648691,-0.0374833078608749,-0.164011674682829
"controlled",0.112079024692168,0.021458861119626,-0.40956569478979,0.0208044136174731,-0.0920475311128381,-0.024510216296074
"conventional",0.0616124540301605,-0.177602242373995,-0.572445034653673,0.216550042279913,0.0504313310353103,0.411265619119187
"cordial",0.048415434014794,-0.465742274723778,-0.0102950595066619,0.0288568379209882,-0.20221595367941,0.0647803609808036
"courageous",-0.0517715909769283,-0.0133165513909055,0.0369908825280164,-0.253598886325918,-0.0701481602566383,0.0366808173837895
"courteous",0.0388693095510615,-0.166512483029567,-0.0382535960676954,0.102634431794138,-0.204085370442562,0.00524962447892688
"cowardly",-0.0326211113155942,0.0106062316326608,0.0227240747520397,0.0435851584284836,-0.0217829705342069,-0.00102758585670123
"crabby",-0.197862323977172,0.0397923470571987,-0.0894278823315062,0.0159181171330188,0.499571321598454,0.0963945113601512
"crafty",0.432124010694478,0.137166856165597,0.181412687746858,-0.0210907668296495,-0.0358651749664614,-0.101403593930335
"cranky",-0.20143234648307,0.0619332249257867,-0.0143166697869385,0.0207042384798472,0.429687842351141,0.178826712849835
"critical",0.0178393379114866,0.145207092785795,-0.149447047080513,-0.122682819807404,0.234733182611606,-0.23577249519524
"cruel",0.0916692013529118,0.00677204259614399,-0.0134866322206924,-0.0128663931406919,0.0281343301854951,-0.00671274625840837
"cultured",0.0209531894249352,-0.0728512011994518,-0.00251847723129335,0.113187838731468,0.0460020441909399,-0.331543608600375
"cunning",0.656454200759808,0.090175183790254,-0.029968457763536,-0.142933697298724,-0.167929893343691,-0.111061637562599
"curious",0.0629657732279351,0.0316538260050222,0.110446360764307,0.0828955030527334,-0.0517751819673067,-0.203849820492554
"cynical",0.382521489486707,0.120976323049027,-0.0280528771330335,0.0500727429995661,0.325379141934808,-0.00355427132695002
"deceitful",0.862934852397889,-0.0652949908470989,-0.0649582048700927,0.034716336258752,-0.227198107484751,0.00533227562086824
"decisive",0.0864033398468777,0.00166994543668851,-0.261150065067142,-0.27937443628938,-0.0221528339785131,0.0238614382216669
"defensive",0.00139693284718024,0.150180082765979,-0.0813791182597558,0.0833963217872037,0.260048114343485,0.154247386960977
"deliberate",0.0933177543606771,0.0203265712824288,-0.352364078101843,0.0218616489154727,-0.0199035219180966,-0.00232507111277533
"demonstrative",0.0447647475680296,-0.582079383396516,0.0866108173140758,-0.0557780447886321,0.0369116991029568,-0.0244667785011272
"dependable",-0.0949496428408351,-0.0468218466738177,-0.201994243958289,-0.0554701804546346,-0.0387775948699096,0.0547964921806833
"dependent",-0.0546237068272137,-0.0627717581372213,0.0766446043338303,0.125284807401599,-0.0427286383950445,0.00944858126625831
"detached",0.04542232286028,0.716507027905301,0.0872921393286503,0.0743513044839102,-0.0423695532265679,-0.111025334545293
"devious",0.880151909515609,0.0131845086863934,-0.0275891358523387,0.0257951058225377,-0.230432526941761,-0.0239771510781479
"dignified",-0.0513390399748704,-0.0201660123205832,-0.164306605067846,-0.009362575499496,-0.0533479336778914,-0.0991918273193117
"diplomatic",0.186473039046847,-0.270475335667283,-0.190471223129545,0.0597429074218287,-0.348772928310818,-0.271679422515481
"direct",-0.127877086736682,-0.195900568076665,-0.136038334168004,-0.245058533621797,0.181574444802358,0.0672007325348651
"discreet",-0.0446273681188671,0.241412289385078,-0.143786747543712,0.161410106809699,-0.17078122288466,-0.182831021860752
"dishonest",0.768747657586854,-0.0837044737211288,-0.0166692845401465,0.0367993365796468,-0.168812820220788,0.0174112840818054
"disorderly",-0.102230026549622,0.0709498453379304,0.343798420888797,-0.0310083538871324,0.00631972023097805,0.0446829320397443
"disrespectful",0.0574629645276212,0.0211172709760541,0.0478642141914935,0.00668102350762286,0.2074905120087,0.0460986743052776
"docile",-0.0278450232593951,-0.0608556889664466,-0.0814330535022469,0.296322105763787,-0.152708625081408,0.0820060468293901
"dogmatic",-0.0537643853495203,-0.0658305881745957,-0.311339402994194,-0.0788321890143434,0.332014218916975,0.228992029367974
"dominant",0.0697880558922422,-0.0632990146283558,-0.138615156381802,-0.467143600576399,0.186179388446786,-0.0933129008578725
"domineering",0.134676665044338,-0.135068922261139,-0.251166409702156,-0.317392441129301,0.356879868472892,-0.0666438337409163
"down-to-earth",-0.132599414962465,-0.254510310714497,-0.0764224862110307,0.202094453009827,-0.0602686550399928,0.367035210084417
"dull",-0.0393142773560042,0.0636273761124044,-0.0634205718344942,0.070878398786999,-0.0249638059685464,0.0717113237329945
"earnest",-0.221869451234607,0.00942004238619722,-0.086214246412968,0.0238343733672349,-0.0159056834074525,0.0438825992311664
"earthy",-0.0938820279601029,-0.148977496352913,-0.0265685197340141,0.165417584192076,-0.0188566105795683,0.37287433845684
"easygoing",0.188085673098629,-0.22078399933003,0.373687699396957,0.222856232395425,-0.304145343459272,0.187020747576187
"economical",0.0266537464135325,0.0240211155128767,-0.226634457211653,0.0668055569445483,-0.0177885233793494,-6.98097135614214e-05
"egocentric",0.430324565997279,0.0220027447558,0.00264900648750134,-0.0932066877557536,0.23285767341026,-0.0796698639831156
"egotistical",0.357464814659917,0.0116701537371083,-0.0395216466093891,-0.16282729594684,0.284081817323775,-0.101172588006134
"eloquent",0.0823822448763331,-0.196458736285255,0.0730585221030037,-0.0363337286541571,-0.0592826531141371,-0.399963889914477
"empathic",-0.11957309169062,-0.413824759009348,0.0192587712034531,0.089934936761661,-0.278167340558686,0.00688452851185641
"enterprising",0.0166239248653472,0.0447243221570397,0.0929707476218622,-0.273860815836184,-0.0509183966426804,-0.174623840633379
"enthusiastic",-0.0447623582422053,-0.117766399405804,0.0898877234245572,-0.0926509795560546,-0.0253558839162876,-0.0109445175518115
"erratic",-0.0814863941272952,0.0512423915265369,0.374703766037651,-0.0660561169720026,0.063720810392833,0.0553469296609432
"ethical",-0.534901552592333,0.0409567890070169,-0.0559292971240531,-0.0721711044914637,-0.0300065553529158,-0.0389568748251254
"exacting",0.0489500802555817,0.116631709230425,-0.406263877149789,-0.0332702871415036,0.101107758270191,-0.0910056865968217
"excitable",-0.106631645873403,-0.229169518568034,0.358222749460345,-0.167946283965231,-0.00623498320373788,-0.0242328341233051
"exhibitionistic",-0.0483278606787205,-0.0789921884902025,0.190508334737321,-0.15471103918884,0.0164021671319982,-0.0527086487526903
"explosive",-0.11851140448572,-0.00370558076970827,0.227970393711185,-0.406242031726616,0.0707864468581389,0.0350720752606715
"expressive",0.00714351977367442,-0.445482919076056,0.279548668401139,-0.0111677007578179,0.0119313109028838,-0.112682892905571
"extravagant",0.0632724415281155,-0.0792105202798137,0.234856642104263,-0.186608106219309,0.0342352803234803,-0.1844020754172
"extroverted",0.071461403661548,-0.570597653535492,0.167068232596197,-0.357882253772043,0.00181405828109956,0.0798533976426736
"faultfinding",-0.203744189145417,-0.024556056551214,-0.164420288850227,0.0166342176281898,0.602568554703921,-0.0914854624714983
"feminine",-0.215907571167215,-0.444754833485071,0.0527375957244734,0.277857361638655,0.0324515731851944,-0.325849528647263
"finicky",-0.0636345113707946,0.0611410154742368,-0.104246334160311,0.295831895589748,0.382291356914401,-0.13314336333007
"firm",0.0249428251523005,0.027501643504874,-0.235896733659986,-0.147836513626008,0.0187449467073037,0.060502976062957
"flamboyant",-0.0901323072265862,-0.101923228839711,0.231281671567062,-0.08699423294926,0.0307063804166764,-0.123761864344139
"flexible",0.173129573996323,-0.0725751970308478,0.265818841642824,-0.0548698164455894,-0.276337490598249,-0.217377200762758
"flirtatious",0.0754814157408848,-0.110587595318059,0.205597826909933,-0.106638792516153,-0.0440347261823995,-0.0172901475723606
"foolhardy",-0.0170934535095496,-0.0128182464209918,0.236254237856526,-0.150005242950592,-0.0275154443336876,0.171774956521712
"forceful",-0.0113895128580925,-0.114533371839063,-0.142351639526085,-0.578697716991671,0.233189080815032,0.0479557030304673
"foresighted",0.0445652172117779,0.0669954541405655,-0.297957841449206,-0.104261856210559,-0.0554493008487867,-0.214566803724814
"forgetful",-0.142716453425331,0.0481894950695902,0.327468836261729,0.0721544156978123,-0.0795306721920416,0.0170008175605507
"formal",0.0733352798999661,-0.0403397183262945,-0.45053947998672,0.0493954167304143,0.0555924644684082,-0.27855677196063
"frank",-0.552002201886057,-0.158000316880888,0.0317220965872307,-0.0963427563610937,0.199458862355757,0.0385581943845025
"friendly",0.0187495373256919,-0.367487585702826,0.0446401604490974,0.0372993592991931,-0.0713711944868853,0.0816921056572311
"frivolous",-0.0354905265466459,-0.0283051561310366,0.130871379282606,-0.000446247082766048,-0.0154876003234358,0.0160181598979355
"genial",0.118113179336923,-0.490695009423492,0.125326047961185,0.112583541998849,-0.264793736181787,0.175924139398649
"gossipy",0.160443444798518,-0.222355715564253,-0.0110135155701399,0.119111175311634,0.0378255120734869,0.0838415107194688
"greedy",0.409731668569606,-0.0505492429831847,0.0103413751048886,-0.0553621744696407,-0.0524035615213033,0.0447934606638005
"gregarious",0.0676160451418152,-0.575202091410085,0.197934316107634,-0.233285807323533,-0.0357432638931617,0.0683636596706812
"grumpy",-0.138811518507121,0.17701822447692,-0.0815362324292722,0.0231763553935114,0.343992038372418,0.163104508882959
"gullible",-0.0436952932659641,-0.0597046430559616,0.0970387103093425,0.0671559436687273,-0.0544628996430938,0.0654402561639008
"happy-go-lucky",0.0180501210770762,-0.267443366251484,0.364592957773544,0.0134554209982324,-0.129492106831217,0.220867070153798
"hearty",0.0196338370622751,-0.297318569878819,0.00326111074047672,-0.0860751783423787,-0.0352427021597795,0.311305661023488
"honest",-0.591436407069508,-0.00377141411594679,-0.0228579115893147,-0.0642786116442648,0.0675059257115001,-0.0122493667176184
"humble",-0.312909871354072,0.0345220287879315,0.0547077800217841,0.209686212503961,-0.296587894601782,0.134376308462406
"humorless",-0.0458457946655077,0.252029245839422,-0.17265827883509,0.00120755400557997,0.0313171054064916,-0.0263173317277518
